time  , ref_x  , ref_y  , ref_alpha  , x  , y  , alpha  , ref_vx  , ref_vy  , ref_omega  , vx  , vy  , omega  
0.000000  ,  0.000000,  0.000000,  0.785398,  0.000000,  0.000000,  0.785398,  1.000000,  0.000000,  0.500000,  0.000003,  0.000000,  0.000000
0.000284  ,  0.000201,  0.000201,  0.785540,  0.000000,  0.000000,  0.785398,  1.000000,  0.000000,  0.500000,  0.276040,  0.000000,  0.158297
0.001705  ,  0.001205,  0.001206,  0.786251,  0.000278,  0.000278,  0.785624,  1.000000,  0.000000,  0.500000,  0.477983,  0.000000,  0.269509
0.008810  ,  0.006216,  0.006243,  0.789803,  0.002685,  0.002691,  0.787545,  1.000000,  0.000000,  0.500000,  0.628002,  0.000000,  0.348273
0.044333  ,  0.030998,  0.031693,  0.807565,  0.018491,  0.018764,  0.800034,  1.000000,  0.000000,  0.500000,  0.749410,  0.000000,  0.408669
0.094333  ,  0.065106,  0.068252,  0.832565,  0.044538,  0.046144,  0.820608,  1.000000,  0.000000,  0.500000,  0.849457,  0.000000,  0.455187
0.144333  ,  0.098289,  0.105651,  0.857565,  0.073274,  0.077692,  0.843436,  1.000000,  0.000000,  0.500000,  0.929126,  0.000000,  0.489225
0.194333  ,  0.130527,  0.143869,  0.882565,  0.103802,  0.112844,  0.867912,  1.000000,  0.000000,  0.500000,  0.990056,  0.000000,  0.512583
0.244333  ,  0.161800,  0.182880,  0.907565,  0.135330,  0.151038,  0.893520,  1.000000,  0.000000,  0.500000,  1.034335,  0.000000,  0.527213
0.294333  ,  0.192088,  0.222661,  0.932565,  0.167183,  0.191734,  0.919835,  1.000000,  0.000000,  0.500000,  1.064309,  0.000000,  0.535041
0.344333  ,  0.221371,  0.263187,  0.957565,  0.198814,  0.234430,  0.946529,  1.000000,  0.000000,  0.500000,  1.082409,  0.000000,  0.537829
0.394333  ,  0.249633,  0.304432,  0.982565,  0.229794,  0.278676,  0.973358,  1.000000,  0.000000,  0.500000,  1.091018,  0.000000,  0.537105
0.444333  ,  0.276855,  0.346371,  1.007565,  0.259807,  0.324084,  1.000153,  1.000000,  0.000000,  0.500000,  1.092357,  0.000000,  0.534125
0.494333  ,  0.303020,  0.388977,  1.032565,  0.288629,  0.370331,  1.026803,  1.000000,  0.000000,  0.500000,  1.088418,  0.000000,  0.529872
0.544333  ,  0.328111,  0.432224,  1.057565,  0.316116,  0.417160,  1.053247,  1.000000,  0.000000,  0.500000,  1.080918,  0.000000,  0.525080
0.594333  ,  0.352114,  0.476084,  1.082565,  0.342182,  0.464375,  1.079460,  1.000000,  0.000000,  0.500000,  1.071284,  0.000000,  0.520264
0.644333  ,  0.375013,  0.520531,  1.107565,  0.366792,  0.511837,  1.105441,  1.000000,  0.000000,  0.500000,  1.060652,  0.000000,  0.515760
0.694333  ,  0.396793,  0.565536,  1.132565,  0.389940,  0.559455,  1.131203,  1.000000,  0.000000,  0.500000,  1.049891,  0.000000,  0.511766
0.744333  ,  0.417442,  0.611072,  1.157565,  0.411641,  0.607175,  1.156772,  1.000000,  0.000000,  0.500000,  1.039625,  0.000000,  0.508373
0.794333  ,  0.436946,  0.657109,  1.182565,  0.431924,  0.654972,  1.182178,  1.000000,  0.000000,  0.500000,  1.030271,  0.000000,  0.505601
0.844333  ,  0.455294,  0.703620,  1.207565,  0.450823,  0.702845,  1.207449,  1.000000,  0.000000,  0.500000,  1.022073,  0.000000,  0.503420
0.894333  ,  0.472472,  0.750575,  1.232565,  0.468372,  0.750806,  1.232614,  1.000000,  0.000000,  0.500000,  1.015141,  0.000000,  0.501769
0.944333  ,  0.488472,  0.797944,  1.257565,  0.484602,  0.798873,  1.257700,  1.000000,  0.000000,  0.500000,  1.009480,  0.000000,  0.500575
0.994333  ,  0.503283,  0.845699,  1.282565,  0.499542,  0.847069,  1.282728,  1.000000,  0.000000,  0.500000,  1.005022,  0.000000,  0.499757
1.044333  ,  0.516895,  0.893809,  1.307565,  0.513213,  0.895415,  1.307717,  1.000000,  0.000000,  0.500000,  1.001652,  0.000000,  0.499240
1.094333  ,  0.529300,  0.942245,  1.332565,  0.525631,  0.943930,  1.332680,  1.000000,  0.000000,  0.500000,  0.999228,  0.000000,  0.498954
1.144333  ,  0.540491,  0.990975,  1.357565,  0.536809,  0.992624,  1.357629,  1.000000,  0.000000,  0.500000,  0.997595,  0.000000,  0.498837
1.194333  ,  0.550460,  1.039970,  1.382565,  0.546753,  1.041505,  1.382573,  1.000000,  0.000000,  0.500000,  0.996604,  0.000000,  0.498839
1.244333  ,  0.559201,  1.089198,  1.407565,  0.555466,  1.090571,  1.407517,  1.000000,  0.000000,  0.500000,  0.996110,  0.000000,  0.498919
1.294333  ,  0.566709,  1.138630,  1.432565,  0.562949,  1.139815,  1.432465,  1.000000,  0.000000,  0.500000,  0.995986,  0.000000,  0.499044
1.344333  ,  0.572979,  1.188234,  1.457565,  0.569201,  1.189225,  1.457418,  1.000000,  0.000000,  0.500000,  0.996124,  0.000000,  0.499191
1.394333  ,  0.578007,  1.237979,  1.482565,  0.574218,  1.238782,  1.482379,  1.000000,  0.000000,  0.500000,  0.996433,  0.000000,  0.499343
1.444333  ,  0.581790,  1.287835,  1.507565,  0.577998,  1.288463,  1.507348,  1.000000,  0.000000,  0.500000,  0.996840,  0.000000,  0.499488
1.494333  ,  0.584325,  1.337769,  1.532565,  0.580537,  1.338244,  1.532323,  1.000000,  0.000000,  0.500000,  0.997291,  0.000000,  0.499619
1.544333  ,  0.585611,  1.387751,  1.557565,  0.581832,  1.388094,  1.557304,  1.000000,  0.000000,  0.500000,  0.997744,  0.000000,  0.499732
1.594333  ,  0.585648,  1.437750,  1.582565,  0.581882,  1.437983,  1.582291,  1.000000,  0.000000,  0.500000,  0.998172,  0.000000,  0.499826
1.644333  ,  0.584435,  1.487734,  1.607565,  0.580685,  1.487878,  1.607283,  1.000000,  0.000000,  0.500000,  0.998558,  0.000000,  0.499901
